term,id,variation,tags
1,0,1,number
2,0,1,number
3,0,1,number
4,0,1,number
5,0,1,number
6,0,1,number
7,0,1,number
8,0,1,number
9,0,1,number
10,0,1,number
11,0,1,number
12,0,1,number
13,0,1,number
14,0,1,number
15,0,1,number
16,0,1,number
17,0,1,number
18,0,1,number
19,0,1,number
20,0,1,number
A,5820,1,alphabet
abbreviation,1049,1,business
accent,0,fingerspell,communication
accept,846,1,verbs
advertisement,7996,1,business
alcohol,67661,1,food
all,874,1,descriptor
allergies,507,1,outdoors
american,2958,1,social
apple,902,1,food
ask,494,1,verbs
australia,939,1,location
B,5821,1,alphabet
bacon,950,1,food
bad,2,1,preference
banana,958,1,food
bathroom,38,1,location
bbq,0,fingerspell,food
beach,5157,1,outdoors
beer,983,1,food
before,985,1,time
bicycle,3041,1,transit
bird,47,1,animals
birthday,49,1,season
blender,5474,1,food
borrow,515,1,verbs
bread,5362,1,food
breakfast,1044,1,food
bronx,0,fingerspell,location
brooklyn,0,fingerspell,location
burrito,0,fingerspell,food
bus,518,1,transit
buy,520,1,verbs
C,5822,1,alphabet
cake,522,1,food
camp,1077,1,outdoors
cancel,3090,1,verbs
candy,525,1,food
captions,3094,1,communication
car,526,1,transit
carnivore,5288,1,personal
cat,528,1,animals
cell phone,6333,1,communication
cereal,1099,1,food
charger,8186,1,technology
chat,70,1,communication
cheese,72,1,food
chicken,5785,1,food
chinese,6199,1,social
chips,5385,1,food
chocolate,530,1,food
city,3123,1,location
client,1125,1,profession
coffee,82,1,food
colleague,4710,1,profession
community,88,1,location
complete,8364,1,verbs
complicated,3166,1,descriptor
computer,534,1,technology
confident,806,1,emotion
conflict,1152,1,personal
consumer,0,fingerspell,profession
continue,90,1,verbs
cookie,537,1,food
corn,1165,1,food
correct,3206,1,verbs
customer,3236,1,profession
D,5823,1,alphabet
desk,1204,1,business
develop,1208,1,verbs
different,3284,1,preference
dinner,1218,1,food
discrimination,1223,1,social
discuss,3298,1,communication
diversity,5523,1,social
divorce,547,1,personal
dog,5292,1,animals
doing,549,1,business
don't like,3321,1,preference
don't want,5912,1,preference
drive,1242,1,transit
E,5824,1,alphabet
each,121,1,descriptor
eat,151,1,food
email,6040,1,communication
engineer,3347,1,profession
equality,1285,1,social
excited,3406,1,emotion
excuse me,4942,1,manners
exhausted,3412,1,descriptor
expression,8463,1,emotion
F,5825,1,alphabet
fail,560,1,personal
fall,561,1,season
fancy,137,1,descriptor
fast,3438,1,descriptor
fat,1321,1,descriptor
feel,143,1,emotion
fight,3456,1,social
fire,5714,1,business
fish,1344,1,animals
flower,5399,1,outdoors
forget,3480,1,verbs
friday,575,1,time
fruit,1377,1,food
full,3503,1,emotion
G,5826,1,alphabet
garden,1388,1,outdoors
general,3517,1,descriptor
get,3520,1,verbs
give,583,1,verbs
good,169,1,preference
grapes,1423,1,food
greek,3561,1,social
group,1432,1,communication
H,5827,1,alphabet
happy,178,1,emotion
hate,585,1,emotion
health,1467,1,personal
here,192,1,location
hire,3609,1,business
holiday,8403,1,season
home,195,1,personal
hot,198,1,descriptor
hungry,204,1,emotion
hurt,3630,1,emotion
husband,206,1,personal
I,5828,1,alphabet
ice,3637,1,outdoors
ice cream,1528,1,food
idea,211,1,personal
impossible,1543,1,descriptor
internet,219,1,technology
J,5829,1,alphabet
jelly,5377,1,food
jewish,6422,1,social
juice,1623,1,food
K,5830,1,alphabet
kitchen,226,1,food
know,228,1,verbs
L,5831,1,alphabet
laptop,7020,1,technology
last week,609,1,time
last year,1677,1,time
launched,1681,1,technology
let,1705,1,verbs
levels,3468,1,business
life,3795,1,personal
like,242,1,preference
listing,0,fingerspell,business
live,245,1,verbs
logic,1740,1,personal
long,1742,1,descriptor
long island,0,fingerspell,location
lose,3822,1,verbs
love you,3828,1,emotion
lunch,1757,1,food
M,5832,1,alphabet
machine,3839,1,technology
mad,4917,1,emotion
make,3844,1,business
marriage,4929,1,personal
maximum,3862,1,descriptor
meaning,624,1,personal
meat,982,1,food
meeting,3878,1,communication
milk,627,1,food
minimum,3898,1,descriptor
mixed,3907,1,descriptor
monday,630,1,time
money,271,1,business
morning,634,1,time
movie,278,1,media
music,3932,1,media
N,5833,1,alphabet
need,385,1,emotion
new york,3957,1,location
next,1914,,time
next week,637,1,time
next year,6853,1,time
night,5261,1,time
noon,3964,1,time
now,296,1,time
O,5834,1,alphabet
ocean,1950,1,outdoors
off,1953,1,descriptor
old,4008,1,descriptor
on,1963,1,descriptor
onion,1967,1,food
oppression,1979,1,social
options,2412,1,preference
orange,1983,1,food
other,308,1,preference
P,5835,1,alphabet
park,5633,1,location
partner,2049,1,personal
party,739,1,verbs
patient,313,1,descriptor
peanut butter,5383,1,food
people,316,1,personal
pizza,2131,1,food
plan,323,1,verbs
plane,324,1,transit
plant,2135,1,outdoors
please,326,1,manners
poetry,5701,1,emotion
possible,4155,1,descriptor
potato,2170,1,food
pr,0,fingerspell,business
practice,335,1,verbs
problems,341,1,personal
product,0,fingerspell,business
program,2205,1,business
project,2206,1,business
promise,4204,1,verbs
protest,4217,1,social
public,187,1,business
purpose,4232,1,personal
Q,5836,1,alphabet
queens,0,fingerspell,location
questions,8495,1,communication
R,5837,1,alphabet
racism,0,fingerspell,social
rain,347,1,outdoors
reason,4290,1,personal
recently,352,1,time
recognize,4297,1,verbs
request,4347,,verbs
rich,5539,1,descriptor
right,4380,1,descriptor
rights,4379,1,social
room,365,1,business
S,5838,1,alphabet
sad,366,1,emotion
salad,678,1,food
same,368,1,preference
sandwich,2414,1,food
saturday,680,1,time
sausage,2421,1,food
scottish,4430,1,social
sea food,0,fingerspell,food
setup,4469,1,descriptor
shop,4496,1,verbs
short,5221,1,descriptor
shrimp,2492,1,food
sick,2500,1,emotion
skating,4516,1,outdoors
skiing,393,1,outdoors
sleep,817,1,verbs
slim,4528,1,descriptor
slow,689,1,descriptor
smell,690,1,verbs
snack,4951,1,food
snow,2555,1,outdoors
snowboard,8497,1,outdoors
soda,4999,1,food
sorry,403,1,manners
soup,2571,1,food
sour,4550,1,descriptor
spaghetti,2577,1,food
spring,693,1,season
staten island,0,fingerspell,location
store,409,1,business
strawberry,5388,1,food
student,701,1,profession
subway,2669,1,transit
summary,4638,1,business
summer,749,1,season
sun,2677,1,outdoors
sun glasses,5657,1,outdoors
sunburn,0,fingerspell,outdoors
sunday,4642,1,time
support,414,1,verbs
surf,4657,1,outdoors
surprised,4659,1,emotion
sushi,0,fingerspell,food
sweat,4669,1,verbs
swim,8520,1,verbs
T,5839,1,alphabet
table,2704,1,business
taco,7034,1,food
take,2709,1,verbs
take steps,4689,1,verbs
tall,2710,1,descriptor
tan,2711,1,outdoors
teacher,420,1,profession
technology,4714,1,technology
telephone,4716,1,communication
test,4730,1,profession
text,7962,1,communication
thank you,426,1,manners
thursday,709,1,time
to do,8453,1,business
today,440,1,time
tomato,2765,1,food
tomorrow,442,1,time
town,4773,1,location
train,448,1,transit
tree,5405,1,outdoors
try,450,1,verbs
tuesday,713,1,time
type,455,1,communication
U,5840,1,alphabet
umbrella,5276,1,outdoors
understand,715,1,emotion
V,5841,1,alphabet
vacation,4824,1,season
vanilla,5389,1,food
variety,5060,1,social
vegetable,6140,1,food
video,459,1,media
videophone,8535,1,communication
visit,461,1,verbs
vodka,6803,1,food
W,5842,1,alphabet
wake up,4848,1,verbs
wall,5457,1,business
want,465,1,preference
watch,469,1,verbs
wednesday,722,1,time
week,723,1,time
weekend,6131,1,time
welcome,4944,1,manners
whiskey,5379,1,food
wife,484,1,personal
wifi,0,fingerspell,technology
wine,5391,1,food
win,486,1,verbs
winter,727,1,season
work,487,1,business
wrong,731,1,descriptor
X,5843,1,alphabet
Y,5844,1,alphabet
year,732,1,time
yesterday,733,1,time
young,5970,1,descriptor
Z,5845,1,alphabet